25 Sept. 2024	0.2299	-0.0009	-0.39 %
24 Sept. 2024	0.2308	+0.0008	0.35 %
23 Sept. 2024	0.2300	+0.0003	0.13 %
20 Sept. 2024	0.2297	-0.0024	-1.03 %
19 Sept. 2024	0.2321	-0.0018	-0.77 %
18 Sept. 2024	0.2339	+0.0020	0.86 %
17 Sept. 2024	0.2319	-0.0011	-0.47 %
16 Sept. 2024	0.2330	+0.0028	1.22 %
13 Sept. 2024	0.2302	+0.0013	0.57 %
12 Sept. 2024	0.2289	+0.0033	1.46 %
11 Sept. 2024	0.2256	-0.0004	-0.18 %
10 Sept. 2024	0.2260	0	0 %
9 Sept. 2024	0.2260	+0.0008	0.36 %
6 Sept. 2024	0.2252	+0.0013	0.58 %
5 Sept. 2024	0.2239	-0.0030	-1.32 %
4 Sept. 2024	0.2269	-0.0009	-0.4 %
3 Sept. 2024	0.2278	-0.0006	-0.26 %
2 Sept. 2024	0.2284	+0.0008	0.35 %
30 Aug. 2024	0.2276	-0.0014	-0.61 %
29 Aug. 2024	0.2290	+0.0016	0.7 %
28 Aug. 2024	0.2274	-0.0021	-0.92 %
27 Aug. 2024	0.2295	-0.0024	-1.03 %
26 Aug. 2024	0.2319	+0.0017	0.74 %
23 Aug. 2024	0.2302	-0.0012	-0.52 %
22 Aug. 2024	0.2314	-0.0050	-2.12 %
21 Aug. 2024	0.2364	-0.0034	-1.42 %
20 Aug. 2024	0.2398	-0.0017	-0.7 %
19 Aug. 2024	0.2415	-0.0017	-0.7 %
16 Aug. 2024	0.2432	+0.0047	1.97 %
14 Aug. 2024	0.2385	-0.0016	-0.67 %
13 Aug. 2024	0.2401	-0.0015	-0.62 %
12 Aug. 2024	0.2416	-0.0009	-0.37 %
9 Aug. 2024	0.2425	+0.0066	2.8 %
8 Aug. 2024	0.2359	-0.0009	-0.38 %
7 Aug. 2024	0.2368	+0.0021	0.89 %
6 Aug. 2024	0.2347	+0.0047	2.04 %
5 Aug. 2024	0.2300	-0.0123	-5.08 %
2 Aug. 2024	0.2423	-0.0048	-1.94 %
1 Aug. 2024	0.2471	+0.0030	1.23 %
31 Iul. 2024	0.2441	-0.0021	-0.85 %
30 Iul. 2024	0.2462	-0.0023	-0.93 %
29 Iul. 2024	0.2485	-0.0011	-0.44 %
26 Iul. 2024	0.2496	+0.0021	0.85 %
25 Iul. 2024	0.2475	-0.0042	-1.67 %
24 Iul. 2024	0.2517	-0.0034	-1.33 %
23 Iul. 2024	0.2551	+0.0010	0.39 %
22 Iul. 2024	0.2541	0	0 %
19 Iul. 2024	0.2541	-0.0028	-1.09 %
18 Iul. 2024	0.2569	+0.0012	0.47 %
17 Iul. 2024	0.2557	-0.0011	-0.43 %
16 Iul. 2024	0.2568	+0.0014	0.55 %
15 Iul. 2024	0.2554	-0.0023	-0.89 %
12 Iul. 2024	0.2577	+0.0007	0.27 %
11 Iul. 2024	0.2570	-0.0014	-0.54 %
10 Iul. 2024	0.2584	+0.0035	1.37 %
9 Iul. 2024	0.2549	+0.0004	0.16 %
8 Iul. 2024	0.2545	0	0 %
5 Iul. 2024	0.2545	-0.0001	-0.04 %
4 Iul. 2024	0.2546	+0.0009	0.35 %
3 Iul. 2024	0.2537	+0.0017	0.67 %
2 Iul. 2024	0.2520	+0.0002	0.08 %
1 Iul. 2024	0.2518	-0.0015	-0.59 %
28 Iun. 2024	0.2533	-0.0009	-0.35 %
